Clauses,Literals per clause,Variables,KISSAT_GB Time (s),BRUTE_FORCE Time (s),
100,100,100,0.0,1000,
100,100,200,0.0,1000,
100,100,300,0.0,1000,
100,100,400,0.0,1000,
100,100,500,0.0,1000,
100,100,600,0.0,1000,
100,100,700,0.0,1000,
100,100,800,0.0,1000,
100,100,900,0.0,1000,
100,200,100,0.0,1000,
100,200,200,0.0,1000,
100,200,300,0.0,1000,
100,200,400,0.0,1000,
100,200,500,0.0,1000,
100,200,600,0.0,1000,
100,200,700,0.0,1000,
100,200,800,0.0,1000,
100,200,900,0.0,1000,
100,300,100,0.0,1000,
100,300,200,0.0,1000,
100,300,300,0.0,1000,
100,300,400,0.0,1000,
100,300,500,0.0,1000,
100,300,600,0.0,1000,
100,300,700,0.0,1000,
100,300,800,0.0,1000,
